,Year,"PRICE RECEIVED, MEASURED IN $ / BU",ACRES HARVESTED,"PRODUCTION, MEASURED IN BU","YIELD, MEASURED IN BU / ACRE","PRODUCTION, MEASURED IN $", Cooling Degree Days, Heating Degree Days, Precipitation, Palmer Drought Severity Index (PDSI), Palmer Hydrological Drought Index (PHDI), Palmer Modified Drought Index (PMDI), Average Temperature, Maximum Temperature, Minimum Temperature, Palmer Z-Index,USPop
44,1994,2.26,"72,514,000","10,050,520,000",138.6,"22,874,154,000",325,7,30.62,1.54,1.54,0.3,52.87,64.8,40.94,0.23,263130000
45,1995,3.24,"65,210,000","7,400,051,000",113.5,"24,202,234,000",345,6,32.69,3.53,3.53,3.53,52.65,64.34,40.96,0.93,266280000
46,1996,3.55,"72,644,000","9,232,557,000",127.1,"25,149,013,000",306,10,33.7,2.15,2.15,2.15,51.88,63.71,40.05,1.35,269390000
47,1997,2.6,"72,671,000","9,206,832,000",126.7,"22,351,507,000",314,10,31.86,4.27,4.27,4.27,52.2,63.72,40.68,0.82,272650000
48,1998,2.2,"72,589,000","9,758,685,000",134.4,"18,922,084,000",353,5,33.89,-0.05,3.31,3.01,54.23,65.63,42.82,-0.06,275850000
49,1999,1.89,"70,487,000","9,430,612,000",133.8,"17,103,991,000",367,7,28.47,0.87,1.49,1.17,53.88,66.2,41.55,0.12,279040000
50,2000,1.86,"72,440,000","9,915,051,000",136.9,"18,499,002,000",290,13,28.22,-4.07,-4.07,-3.94,53.27,65.31,41.21,-1.33,282160000
51,2001,1.89,"68,768,000","9,502,580,000",138.2,"18,878,819,000",306,10,29.02,-2.55,-2.55,-2.45,53.69,65.64,41.74,-0.52,284970000
52,2002,2.13,"69,330,000","8,966,787,000",129.3,"20,882,448,000",365,3,29.05,-3.56,-3.56,-3.56,53.21,65.19,41.22,-1.7,287630000
53,2003,2.27,"70,944,000","10,087,292,000",142.2,"24,472,254,000",335,5,30.51,1.6,1.6,1.6,53.26,65.11,41.4,0.45,290110000
54,2004,2.47,"73,631,000","11,805,581,000",160.3,"24,377,913,000",297,9,33.25,1.5,1.5,1.5,53.1,64.61,41.57,2.16,292810000
55,2005,1.96,"75,117,000","11,112,187,000",147.9,"22,194,287,000",367,4,30.08,0.11,2.44,1.82,53.64,65.49,41.78,-0.22,295520000
56,2006,2.28,"70,638,000","10,531,123,000",149.1,"32,083,011,000",383,3,29.82,-3.65,-3.65,-3.65,54.25,66.41,42.08,-3.03,298380000
57,2007,3.39,"86,520,000","13,037,875,000",150.7,"54,666,959,000",308,6,29.18,-1.55,-1.55,-0.91,53.65,65.64,41.67,-0.41,301230000
58,2008,4.78,"78,570,000","12,043,203,000",153.3,"49,104,148,000",331,6,31.24,0.72,0.72,0.72,52.29,64.45,40.13,0.44,304090000
59,2009,3.75,"79,490,000","13,067,156,000",164.4,"46,640,936,000",286,15,32.3,1.18,1.18,1.18,52.39,64.17,40.6,1.71,306770000
60,2010,3.83,"81,446,000","12,425,330,000",152.6,"64,529,628,000",375,6,31.37,3.48,3.48,3.48,52.98,64.66,41.31,2.3,309320000
61,2011,6.02,"83,879,000","12,313,956,000",146.8,"76,651,242,000",404,7,30.1,-0.82,1.05,-0.18,53.18,65.16,41.19,-1.43,311560000
62,2012,6.67,"87,365,000","10,755,111,000",123.1,"74,155,299,000",401,4,27.53,-4.79,-4.79,-4.79,55.28,67.69,42.88,-3.3,313830000
63,2013,6.15,"87,461,000","13,830,704,000",158.1,"61,935,222,000",337,5,31.06,1.73,-1.63,0.62,52.43,64.15,40.7,2.28,315990000
64,2014,4.11,"83,146,000","14,217,292,000",171,"52,958,412,000",298,10,30.85,1.27,1.27,1.27,52.54,64.34,40.73,0.25,318300000
65,2015,3.71,"80,753,000","13,601,964,000",168.4,"49,339,261,000",333,6,34.59,2.23,2.23,2.23,54.4,66.07,42.71,2.12,320640000
66,2016,3.48,"86,748,000","15,148,038,000",174.6,"51,304,297,000",381,5,31.42,-0.82,1.06,-0.28,54.92,66.69,43.13,-0.58,322940000
67,2017,3.36,"82,733,000","14,609,407,000",176.6,"49,567,854,000",359,5,32.31,0.89,0.89,0.85,54.55,66.35,42.74,0.15,324990000
68,2018,3.47,"81,276,000","14,340,369,000",176.4,"52,102,404,000",372,3,34.65,-1.8,-1.8,-1.8,53.52,65.09,41.94,-0.99,326690000
69,2019,3.75,"81,337,000","13,619,928,000",167.5,"48,940,622,000",370,5,34.82,5.22,5.22,5.22,52.68,64.08,41.27,0.93,328240000
70,2020,3.5,"82,467,000","14,182,479,000",172,"61,039,005,000",394,4,30.36,-0.32,2.45,1.85,54.38,66.33,42.41,-0.15,329880000
